id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
121666,2022-03-10,Köhnə tikili,5 / 1,45,1,Kupça,67000,Vasitəçi / Rieltor,"Leninqrad lahiyəli binada 1 otaqlı mənzil satılır.Mənzil 5 mərtəbəli binanın 1-ci mərtəbəsində yerləşir.Ümumi sahəsi 45 kv.m-dir. Təmiri əladı.Geniş otağı, daimi qazı, işığı, suy u, sakit,maşın saxlamaq üçün parkovka yeri.İpotekaya yararlıdı.Sənədi (kupça) çıxarış.",19,Bakı,Binəqədi rayonu,6-cı mikrorayon,metro. Nəsimi
121665,2022-03-10,Köhnə tikili,5 / 4,76,3,Kupça,86000,Vasitəçi / Rieltor,Sumqayıt.ş 45 ci məhəllə 5/4 cü mərtəbəsi leninqrad lahiyyesi 3 otaq əla təmirli daş binadı kombi və mətbəx mebeli quraşdırılıb yol kənarıdı qiymətdə endirim olacaq,18,Sumqayıt,45-ci məhəllə,,
121664,2022-03-10,Yeni tikili,5 / 4,75,2,Kupçasız,77000,Vasitəçi / Rieltor,Masazırda  Xırdalana  girəndə Milionerlər  məhləsi  yeni  tikili 5 mərtəbəli binanın 4 cü  mərtəbəsində ümumi sahəsi 75 kv m olan  2 otaqlı yeni  təmirdən  çıxmış mənzil satılır.,13,Abşeron,Masazır,,
121663,2022-03-10,Yeni tikili,18 / 17,90,3,Kupça,115000,Vasitəçi / Rieltor,"Qara Qarayev metrosunun yaxınlığında, 18 mərtəbəli yeni tikili binanın 17-ci mərtəbəsində (Mansar deyil+ əlavə mansard var), 3 Otaga duzelme super temirli menzil satilir ! metroya 5 deqiqelik mesafe Praqa şadliq sarayin arxasinda etrfada mekteb baxca temirden sora az yaşayiş olub ! Kupcani yaxin zamanda verilecek elve melumat ucun elaqe saxlayin Ofis xidmet haqqi 1 %",26,Bakı,Nizami rayonu,metro. Qara Qarayev,
121660,2022-03-10,Yeni tikili,8 / 5,38.6,2,Kupçasız,41500,Vasitəçi / Rieltor,"QAZLI BINA...Masazirda duz golunun yaninda inwa edilmiw Rahat Nefes yawayiw kompleksinde 8 mertebeli binanin 5ci mertebesinde sahesi 38 kv olan 2 otaqli menzil satilir.ewyalarin bezileri  qalacaq.qaz lift var,su fasilesizdir.kompleksin earzisinde yawayiw ucun zeruri olan her werait var.menzillerinizin satiwi ucun de agentliyimize muraciet ede bilersiz.menzillerimizin videosuna YOUTUBE da (RETRO EMLAK AGENTLIYI) yazmaqla kanalimizda izleye bilersininz",18,Abşeron,Masazır,,
117165,2022-03-10,Yeni tikili,7 / 4,42,2,Kupçasız,44000,Vasitəçi / Rieltor,"Xırdalan şəhərinin  mərkəzi, Təzə bazara, Misir və Heydər parkına,  119 № -li avtobusun marşrut yolu, Aytac ş/sarayına  yaxın bir  ərazidə inşa edilmiş, yüksək  mərtəbəli,  LİFTİ  olan binanın  7/4-cü  mərtəbəsində, 1 otaqdan  2  otağa  yeni təmir  olunmuş, sahəsi 42 kv.m olan mənzil  44 min manata satılır. İstilik sistemi kombi çəkilmişdir. Qaz, işıq, su  fasiləsizdir. Sənəd  müqavilədir, alqı- satqı natarial  qaydada keçirilir, kupça yaxın aylarda  veriləcək. Mənzilin videosuna baxmaq istəsəniz «AL EMLAK» You Tube kanalına abunə olun və izləyin. Daha ətraflı  məlumat üçün əlaqə  saxlayın.",3,Xırdalan ş.,,,
121653,2022-03-10,Yeni tikili,17 / 6,98,3,Kupçasız,165000,Əmlak sahibi,"Bakı şəhərinin mərkəzi hissəsində, Gənclik və Nərimanov metrosuna yaxın ərazidə, SU SONASI Şadlıq Sarayının yanı, 17 mərtəbəli yeni inşa edilmiş binanın 6-cı mərtəbəsində, 3 otaqlı, tam təmirli, ümümi sahəsi 98_kv_m. xüsusi balkonlu, təmirdən sonra yaşayış olmayan mənzil SATILIR. Ciddi müştəriyə sahibi tərrəfindən endirim nəzərdə tutulur. Real müştərilər əlaqə saxlaya bilərlər.",17,Bakı,Nərimanov rayonu,metro. Gənclik,
121648,2022-03-10,Köhnə tikili,5 / 4,52,2,Kupça,53000,Vasitəçi / Rieltor,"Ofis ünvanımız Sumqayıt şəhəri 36məhələ Sulh kucəsi  Sumqayıtda Yeni ve Köhnə Tikili Binalarda Təmirli və Təmirsiz 1,2,3,4,5 otaqlı Mənzillərimiz olur Satisda. Vats 0552979697   Sumqayıt şəhəri 1 mikrorayon 5/4 mərtəbəsi 2 otaq ORTA evdi. Ətraflı məlumat üçün əlaqə saxliya bilərsiniz  Aşağıda istifadəçinin digər elanları xanasina daxil olub digər Evlerimizede baxa bilərsiniz.",24,Sumqayıt,1-ci mikrorayon,,
121645,2022-03-10,Yeni tikili,16 / 8,170,3,Kupça,415000,Vasitəçi / Rieltor,"Bakı şəhərinin mərkəzində, Nizami Mall-un üstü, 16 mərtəbəli binanın 8-ci mərtəbəsində, yüksək dizaynla və qiymətli tikinti materialları ilə tam təmirli, qanuni 3 otaqlı, 2 sanuzel, ümümi sahəsi 170 kv_m, xüsusi geniş balkonlu = SKVOZNOY = mətbəxdən və qonaq otaqından balkona çıxış = şəhərə panoramalı olan mənzil bütün yeni əşyaları ilə birlikdə SATILIR = müştəri istərsə əşyasız danışıqda mümkündür. Rəsmi sənədi Kupça (reyestr çıxarışlı) Ciddi müştəriyə sahibi tərəfindən endirim nəzərdə tutulur. Real müştərilər əlaqə saxlaya bilərlər.",16,Bakı,Yasamal rayonu,metro. Nizami,
121641,2022-03-10,Yeni tikili,18 / 9,155,3,Kupça,330000,Vasitəçi / Rieltor,"Rəsmi sənədi Kupça (reyestr çıxarışlı) = İpotekayada yararlı, Ciddi müştəriyə sahibi tərəfindən endirim nəzərdə tutulur. Bakı şəhərinin tam mərkəzində, Neftçilər Xəstəxanasının yanı, 18 mərtəbəli binanın 9-cu mərtəbəsində, yüksək dizaynla tam təmirli = təmirdən sonra yaşayış olmayıb, qanuni 3 otaqlı, ümümi sahəsi 155 kvm, 2 sanuzel, 3 balkonlu = SKVOZNOY=şəhərə super panoramalı olan mənzil SATILIR. Real müştərilər əlaqə saxlaya bilərlər.",17,Bakı,Nəsimi rayonu,metro. 28 May,
121639,2022-03-10,Köhnə tikili,9 / 4,65,2,Kupça,96500,Vasitəçi / Rieltor,"Xətai rayonu,Bakı kinoteatrı,M.Rüstəmov küçəsi,İslam marketin yanı,kiyev lahiyəli 9-mərtbəli binanın,4-cü mərtəbəsindəki,radnoy 2-otaqlı mənzil satılır,orta blokdur,yeni təmir olunub,təmirdən sonra yaşayış olmayıb,tmirdə n keyfiyyətli inşaat materillarından istifadə olunmuşdur,isti pol və kombi sistemi qoyulmuşdur,mətbəx mebeli vardır,binanın həyəti abadlaşdırılıb,yeni lift quraşdırılıb,parkinq genıdir,məktəb baxça yanında vardır,əhmədli metrosuna piyada 5-10 dəqiqəlik məsafə vardır,mənzil boşdur,qeyddiyyatda heç kim yoxdur,alqı-satqı üçün hazırdırSƏNƏD=KUPÇADIR===",21,Bakı,Xətai rayonu,Əhmədli,metro. Əhmədli
121637,2022-03-10,Yeni tikili,19 / 3,115,2,Kupça,250000,Vasitəçi / Rieltor,"Nizami metrosunun düz çıxışı Salatın Əsgərova küçəsi ərazinin ən elit binalarından birində yerləşən 19 mərtəbəli binanın 3 cü mərtəbəsində 2 otaq 115 kv yaxşı təmirli mənzil satılır. Mənzilin 1 sanzueli və balkonu mövcuddur. Hər iki tərəfə baxışı var, yelçəkəndir. KUPÇA QAZ var. Bina yaşayış cəhətdən çox əlverişli yerdə yerləşir. Aptek, market, restoran, məktəb, xəstəxana bir sözlə həmin ərazidə bütün lazımi infrasturuktur mövcuddur. İstilik sistemi kombidir. Bina 24 saat mühafizə olunur. Qiymət 250 min manat. Real müştəriyə yaxşı endirim olunacaq. Ofis haqqı 1%",21,Bakı,Yasamal rayonu,metro. Nizami,
121633,2022-03-10,Köhnə tikili,9 / 4,60,2,Kupça,96500,Vasitəçi / Rieltor,M.Rustəmiv k-t Bakıya yaxın 9/4 Kiev orta blok 2 otaq təmirdən sonra yaşayiş olmayıb.İstilik kombi. Binanın yanında məktəb baxça marketlər və s infrastrukturlar mövcuddur! Lift təzə qoyulub. Ofisin xidmət haqqı 1000₼,20,Bakı,Xətai rayonu,Əhmədli,metro. Əhmədli
104791,2022-03-10,Yeni tikili,6 / 1,73,3,Kupçasız,65000,Vasitəçi / Rieltor,"Abseron rayon Masazir qes. Qurtulus 93 yasayis kompleksi.Bina 6 mertebelidir,Menzil ise 1 ci mertebesinde yerlesir(yerden hundur).Sehercikde mekteb bagca fealiyet gosterir.Su,isiq,merkezlesmis istilik sistemi daimidir.Qaz inda xetleri cekilib yaxin vaxtlarda verilecek.",7,Abşeron,Masazır,,
121631,2022-03-10,Yeni tikili,17 / 17,77,2,Kupça,68000,Əmlak sahibi,Ev tecili satilir 17/17 plus mansardi var sened kupcadi kriditede salmaq olar,31,Bakı,Xətai rayonu,H.Aslanon qəs.,metro. Həzi Aslanov 
